RIH3;1;20130108;100000;153680.0000000;158090.0000000;153680.0000000;157830.0000000
RIH3;1;20130108;100100;157830.0000000;157850.0000000;157210.0000000;157410.0000000
RIH3;1;20130108;100200;157420.0000000;157670.0000000;157370.0000000;157410.0000000
RIH3;1;20130108;100300;157410.0000000;157460.0000000;157350.0000000;157460.0000000
RIH3;1;20130108;100400;157460.0000000;157490.0000000;157350.0000000;157440.0000000
RIH3;1;20130108;100500;157450.0000000;157610.0000000;157420.0000000;157510.0000000
RIH3;1;20130108;100600;157510.0000000;157540.0000000;157370.0000000;157450.0000000
RIH3;1;20130108;100700;157460.0000000;157570.0000000;157390.0000000;157520.0000000
RIH3;1;20130108;100800;157530.0000000;157760.0000000;157520.0000000;157700.0000000
RIH3;1;20130108;100900;157690.0000000;157790.0000000;157650.0000000;157760.0000000
RIH3;1;20130108;101000;157770.0000000;157810.0000000;157560.0000000;157600.0000000
RIH3;1;20130108;101100;157600.0000000;157670.0000000;157460.0000000;157560.0000000
RIH3;1;20130108;101200;157550.0000000;157560.0000000;157360.0000000;157400.0000000
RIH3;1;20130108;101300;157400.0000000;157450.0000000;157120.0000000;157120.0000000
RIH3;1;20130108;101400;157120.0000000;157290.0000000;157040.0000000;157190.0000000
RIH3;1;20130108;101500;157190.0000000;157360.0000000;157150.0000000;157350.0000000
RIH3;1;20130108;101600;157350.0000000;157350.0000000;157220.0000000;157270.0000000
RIH3;1;20130108;101700;157280.0000000;157290.0000000;156880.0000000;157110.0000000
RIH3;1;20130108;101800;157100.0000000;157150.0000000;156870.0000000;157090.0000000
RIH3;1;20130108;101900;157100.0000000;157130.0000000;157090.0000000;157090.0000000
RIH3;1;20130108;102000;157110.0000000;157220.0000000;157040.0000000;157090.0000000
RIH3;1;20130108;102100;157100.0000000;157100.0000000;156920.0000000;156960.0000000
RIH3;1;20130108;102200;156970.0000000;156980.0000000;156820.0000000;156850.0000000
RIH3;1;20130108;102300;156850.0000000;156940.0000000;156810.0000000;156910.0000000
RIH3;1;20130108;102400;156900.0000000;156920.0000000;156740.0000000;156790.0000000
RIH3;1;20130108;102500;156790.0000000;156880.0000000;156710.0000000;156800.0000000
RIH3;1;20130108;102600;156800.0000000;156830.0000000;156720.0000000;156780.0000000
RIH3;1;20130108;102700;156790.0000000;156810.0000000;156750.0000000;156810.0000000
RIH3;1;20130108;102800;156810.0000000;156930.0000000;156800.0000000;156890.0000000
RIH3;1;20130108;102900;156890.0000000;156970.0000000;156880.0000000;156950.0000000
RIH3;1;20130108;103000;156950.0000000;157040.0000000;156940.0000000;157000.0000000
RIH3;1;20130108;103100;157010.0000000;157020.0000000;156970.0000000;156980.0000000
RIH3;1;20130108;103200;156980.0000000;156980.0000000;156940.0000000;156960.0000000
RIH3;1;20130108;103300;156950.0000000;157020.0000000;156910.0000000;156960.0000000
RIH3;1;20130108;103400;156970.0000000;157000.0000000;156920.0000000;157000.0000000
RIH3;1;20130108;103500;157000.0000000;157080.0000000;156990.0000000;157050.0000000
RIH3;1;20130108;103600;157050.0000000;157090.0000000;157030.0000000;157060.0000000
RIH3;1;20130108;103700;157060.0000000;157070.0000000;156920.0000000;156940.0000000
RIH3;1;20130108;103800;156950.0000000;157050.0000000;156940.0000000;157020.0000000
RIH3;1;20130108;103900;157020.0000000;157030.0000000;156930.0000000;156950.0000000
RIH3;1;20130108;104000;156950.0000000;156970.0000000;156930.0000000;156950.0000000
RIH3;1;20130108;104100;156950.0000000;157080.0000000;156890.0000000;157080.0000000
RIH3;1;20130108;104200;157080.0000000;157100.0000000;157050.0000000;157060.0000000
RIH3;1;20130108;104300;157060.0000000;157120.0000000;157040.0000000;157090.0000000
RIH3;1;20130108;104400;157100.0000000;157110.0000000;156950.0000000;157010.0000000
RIH3;1;20130108;104500;157010.0000000;157070.0000000;157000.0000000;157010.0000000
RIH3;1;20130108;104600;157010.0000000;157140.0000000;156990.0000000;157120.0000000
RIH3;1;20130108;104700;157120.0000000;157190.0000000;157110.0000000;157130.0000000
RIH3;1;20130108;104800;157130.0000000;157160.0000000;157100.0000000;157140.0000000
RIH3;1;20130108;104900;157160.0000000;157170.0000000;157070.0000000;157100.0000000
RIH3;1;20130108;105000;157100.0000000;157140.0000000;157090.0000000;157120.0000000
RIH3;1;20130108;105100;157120.0000000;157120.0000000;157030.0000000;157080.0000000
RIH3;1;20130108;105200;157080.0000000;157180.0000000;157080.0000000;157130.0000000
RIH3;1;20130108;105300;157130.0000000;157160.0000000;157100.0000000;157110.0000000
RIH3;1;20130108;105400;157120.0000000;157150.0000000;157100.0000000;157110.0000000
RIH3;1;20130108;105500;157110.0000000;157170.0000000;157080.0000000;157160.0000000
RIH3;1;20130108;105600;157160.0000000;157240.0000000;157110.0000000;157110.0000000
RIH3;1;20130108;105700;157140.0000000;157160.0000000;157120.0000000;157140.0000000
RIH3;1;20130108;105800;157140.0000000;157200.0000000;157130.0000000;157150.0000000
RIH3;1;20130108;105900;157140.0000000;157210.0000000;157140.0000000;157210.0000000
RIH3;1;20130108;110000;157200.0000000;157330.0000000;157200.0000000;157250.0000000
RIH3;1;20130108;110100;157250.0000000;157340.0000000;157230.0000000;157330.0000000
RIH3;1;20130108;110200;157330.0000000;157370.0000000;157290.0000000;157320.0000000
RIH3;1;20130108;110300;157320.0000000;157370.0000000;157300.0000000;157300.0000000
RIH3;1;20130108;110400;157300.0000000;157340.0000000;157280.0000000;157330.0000000
RIH3;1;20130108;110500;157340.0000000;157390.0000000;157320.0000000;157380.0000000
